scenario,model_name,profile_key,gt_epsilon
shallow_low_conflict,ground_truth,0|4,0.0
shallow_low_conflict,ground_truth,0|8,0.0
shallow_low_conflict,ground_truth,3|2,0.0
shallow_low_conflict,ground_truth,4|5,0.0
shallow_low_conflict,ground_truth,8|5,0.0
shallow_low_conflict,ground_truth,3|1,0.000767909412579787
shallow_low_conflict,ground_truth,6|2,0.004064987833516609
shallow_low_conflict,ground_truth,4|0,0.0041305057956783076
shallow_low_conflict,ground_truth,8|0,0.0041305057956783076
shallow_low_conflict,ground_truth,6|1,0.004355480711268123
shallow_low_conflict,ground_truth,5|0,0.02424580197161086
shallow_low_conflict,ground_truth,0|0,0.031226242996247433
shallow_low_conflict,ground_truth,5|4,0.03438864335034529
shallow_low_conflict,ground_truth,5|8,0.03438864335034529
shallow_low_conflict,ground_truth,2|3,0.07301027611339606
shallow_low_conflict,ground_truth,1|3,0.08065050828948833
shallow_low_conflict,ground_truth,2|6,0.08543667424352902
shallow_low_conflict,ground_truth,1|6,0.09317210955214195
shallow_low_conflict,quantum_encoded,0|4,0.0
shallow_low_conflict,quantum_encoded,0|8,0.0
shallow_low_conflict,quantum_encoded,3|2,0.0
shallow_low_conflict,quantum_encoded,4|5,0.0
shallow_low_conflict,quantum_encoded,8|5,0.0
shallow_low_conflict,quantum_encoded,3|1,0.000767909412579787
shallow_low_conflict,quantum_encoded,6|2,0.004064987833516609
shallow_low_conflict,quantum_encoded,4|0,0.0041305057956783076
shallow_low_conflict,quantum_encoded,8|0,0.0041305057956783076
shallow_low_conflict,quantum_encoded,6|1,0.004355480711268123
shallow_low_conflict,quantum_encoded,5|0,0.02424580197161086
shallow_low_conflict,quantum_encoded,0|0,0.031226242996247433
shallow_low_conflict,quantum_encoded,5|4,0.03438864335034529
shallow_low_conflict,quantum_encoded,5|8,0.03438864335034529
shallow_low_conflict,quantum_encoded,2|3,0.07301027611339606
shallow_low_conflict,quantum_encoded,1|3,0.08065050828948833
shallow_low_conflict,quantum_encoded,2|6,0.08543667424352902
shallow_low_conflict,quantum_encoded,1|6,0.09317210955214195
shallow_low_conflict,residual_mlp,0|4,0.0
shallow_low_conflict,residual_mlp,0|8,0.0
shallow_low_conflict,residual_mlp,3|1,0.000767909412579787
shallow_low_conflict,residual_mlp,4|0,0.0041305057956783076
shallow_low_conflict,residual_mlp,8|0,0.0041305057956783076
shallow_low_conflict,residual_mlp,3|2,0.0
shallow_low_conflict,residual_mlp,6|2,0.004064987833516609
shallow_low_conflict,residual_mlp,6|1,0.004355480711268123
shallow_low_conflict,residual_mlp,4|5,0.0
shallow_low_conflict,residual_mlp,8|5,0.0
shallow_low_conflict,residual_mlp,5|0,0.02424580197161086
shallow_low_conflict,residual_mlp,5|4,0.03438864335034529
shallow_low_conflict,residual_mlp,5|8,0.03438864335034529
shallow_low_conflict,residual_mlp,2|3,0.07301027611339606
shallow_low_conflict,residual_mlp,1|3,0.08065050828948833
shallow_low_conflict,residual_mlp,1|7,0.11893776364580097
shallow_low_conflict,residual_mlp,2|6,0.08543667424352902
shallow_low_conflict,residual_mlp,2|7,0.1237800392237138
shallow_low_conflict,residual_mlp,1|6,0.09317210955214195
medium_conflict,ground_truth,4|5,0.0
medium_conflict,ground_truth,5|4,0.0
medium_conflict,ground_truth,5|8,0.0
medium_conflict,ground_truth,6|2,0.0
medium_conflict,ground_truth,8|5,0.0
medium_conflict,ground_truth,3|1,0.0007611366924371032
medium_conflict,ground_truth,3|2,0.0011390061142387553
medium_conflict,ground_truth,6|1,0.0015272099029827735
medium_conflict,ground_truth,4|0,0.02981357392680395
medium_conflict,ground_truth,8|0,0.02981357392680395
medium_conflict,quantum_encoded,4|5,0.0
medium_conflict,quantum_encoded,5|4,0.0
medium_conflict,quantum_encoded,5|8,0.0
medium_conflict,quantum_encoded,6|2,0.0
medium_conflict,quantum_encoded,8|5,0.0
medium_conflict,quantum_encoded,3|1,0.0007611366924371032
medium_conflict,quantum_encoded,3|2,0.0011390061142387553
medium_conflict,quantum_encoded,6|1,0.0015272099029827735
medium_conflict,quantum_encoded,4|0,0.02981357392680395
medium_conflict,quantum_encoded,8|0,0.02981357392680395
medium_conflict,residual_mlp,4|0,0.02981357392680395
medium_conflict,residual_mlp,5|4,0.0
medium_conflict,residual_mlp,5|8,0.0
medium_conflict,residual_mlp,6|1,0.0015272099029827735
medium_conflict,residual_mlp,7|5,0.1809015526175926
medium_conflict,residual_mlp,8|0,0.02981357392680395
medium_conflict,residual_mlp,6|2,0.0
medium_conflict,residual_mlp,3|1,0.0007611366924371032
medium_conflict,residual_mlp,3|2,0.0011390061142387553
deep_high_conflict,ground_truth,5|4,0.0
deep_high_conflict,ground_truth,5|8,0.0
deep_high_conflict,ground_truth,6|2,0.0
deep_high_conflict,ground_truth,6|1,0.0011611111364425442
deep_high_conflict,ground_truth,3|1,0.008226783573627244
deep_high_conflict,ground_truth,3|2,0.009340561462437363
deep_high_conflict,ground_truth,4|0,0.026659700613624604
deep_high_conflict,ground_truth,8|0,0.026659700613624604
deep_high_conflict,ground_truth,4|5,0.08603211052318227
deep_high_conflict,ground_truth,8|5,0.08603211052318227
